ANALOGICI1:1
ANT1:1
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C29:1
C3:1
C30:1
C31:1
C32:1
C33:1
C34:1
C35:1
C36:1
C37:1
C38:1
C39:1
C4:1
C40:1
C41:1
C48:1
C49:1
C5:1
C6:1
C7:1
C8:1
C9:1
CAN1:1
D1:1
D10:1
D11:1
D12:1
D13:1
D14:1
D15:1
D19:1
D2:1
D22:1
D23:1
D24:1
D25:1
D26:1
D27:1
D28:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
DOUT3:1
EXT_POWER1:1
F1:1
F3:1
F5:1
FID1:1
FID2:1
FID3:1
FL1:1
FL2:1
H1:1
H2:1
IC1:1
IC10:1
IC2:1
IC3:1
IC4:1
IC5:1
IC6:1
IC7:1
IC8:1
IC9:1
J1:1
J4:1
J5:1
J6:1
J7:1
K1:1
K_N1:1
K_P1:1
L1:1
L2:1
L3:1
L4:1
L5:1
LCD1:1
LED10:1
LED2:1
LED3:1
LED4:1
LED5:1
LED6:1
LED7:1
LED8:1
LED9:1
MTCK1:1
MTDI1:1
MTDO1:1
MTMS1:1
PS1:1
PS2:1
Q1:1
Q2:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R20:1
R21:1
R22:1
R23:1
R24:1
R25:1
R26:1
R27:1
R28:1
R29:1
R3:1
R30:1
R31:1
R32:1
R33:1
R34:1
R35:1
R36:1
R37:1
R38:1
R39:1
R4:1
R40:1
R41:1
R42:1
R43:1
R44:1
R47:1
R48:1
R49:1
R5:1
R50:1
R51:1
R52:1
R53:1
R54:1
R55:1
R56:1
R57:1
R58:1
R6:1
R60:1
R63:1
R64:1
R67:1
R68:1
R7:1
R8:1
R9:1
RELE1:1
RS1:1
RV1:1
S2:1
S3:1
S4:1
SPICS1:1
TP1:1
TP10:1
TP11:1
TP12:1
TP13:1
TP14:1
TP15:1
TP16:1
TP17:1
TP18:1
TP19:1
TP2:1
TP20:1
TP21:1
TP22:1
TP23:1
TP24:1
TP25:1
TP26:1
TP27:1
TP28:1
TP29:1
TP3:1
TP30:1
TP31:1
TP32:1
TP33:1
TP34:1
TP35:1
TP36:1
TP37:1
TP38:1
TP39:1
TP4:1
TP40:1
TP41:1
TP42:1
TP43:1
TP44:1
TP45:1
TP46:1
TP47:1
TP48:1
TP49:1
TP5:1
TP50:1
TP51:1
TP52:1
TP53:1
TP54:1
TP55:1
TP56:1
TP57:1
TP58:1
TP59:1
TP6:1
TP60:1
TP61:1
TP62:1
TP63:1
TP64:1
TP65:1
TP66:1
TP67:1
TP68:1
TP69:1
TP7:1
TP70:1
TP71:1
TP72:1
TP8:1
TP9:1
U1:1
U2:1
U3:1
U4:1
USBC_ESP32:1
USBC_FTDI1:1
Y1:1
Y2:1
